Concept,Information
INTRODUCTION - WHY INNOVATE? WHY SYSTEM?,"In the dynamic landscape of today's world, innovation stands as the cornerstone of economic growth, societal advancement, and the enhancement of overall well-being. However, despite earnest endeavors and initial successes, the challenge for many organizations lies in embedding innovation as a perpetual and integral aspect of their operations.

If you find yourself in any of the following scenarios:

Having sparked creativity through brainstorming sessions, design thinking workshops, or digital platforms for innovation, yet yearning to elevate these ideas further;
Facing hurdles in transforming the innovative concepts devised by your team into commercially viable products or services;
Assuming a new role with oversight for innovation and seeking a starting point;
Recognizing the imperative for a radical overhaul within your organization to foster innovation;
Possessing a zeal for reimagining conventional ways of working to achieve better outcomes.
...and you aspire to:

Gain assurance that your efforts are directed at addressing the most pertinent challenges;
Develop groundbreaking solutions that have the potential to revolutionize your industry;
Cultivate a strong belief in your capacity to steer innovation successfully;
Sidestep the prevalent pitfalls that often beset innovation initiatives.
...then embracing a structured and methodical approach to innovation management is your next strategic move. This approach not only equips you with the tools and knowledge to navigate the complexities of innovation but also empowers you to make it a sustainable and thriving facet of your business."
INNOVATION? What is that?,"INNOVATION - involves the effective utilization of a novel concept to create value. This can apply to a product, service, process, model, or a blend thereof. While some ideas may be modest in scope, others can be more expansive; however, all innovative ideas share a common trait of being original and have the potential to make a significant impact.

Innovation management is a disciplined approach that merges the freedom and creativity necessary for generating ideas with the structured processes needed to transform those ideas into tangible innovations. It encompasses defining, planning, and executing the necessary steps, while managing risks, investments, and project timelines. This field effectively balances the spontaneity of idea creation with the rigor and formality required for successful implementation.

An Innovation Management System (IMS) consists of a coordinated network of elements and processes that empower an organization to boost and refine its innovation potential. This system includes a comprehensive grasp of the organizational context geared towards innovation and value creation. It integrates structured and systematic planning, leadership engagement, and the support and execution of innovation activities. Additionally, it involves ongoing monitoring and evaluation to fuel consistent enhancement and progress.


"
WHY YOU NEED IT?,"To consistently generate ideas that bolster the viability and sustainability of a business, it's crucial to intentionally implement a system designed to:

Align innovation efforts with the broader business strategy, ensuring that these endeavors complement and enhance the company’s overarching goals;
Equip employees with the necessary programs, tools, and techniques to foster creativity, enabling them to address challenges effectively and convert their insights and ideas into quantifiable business value;
Encourage behaviors and undertake activities that are likely to attract new customers or facilitate entry into new markets; and
Facilitate engagement with emerging technologies and forge partnerships that could offer a competitive edge or contribute to the development of valuable intellectual property (IP)."
Innovation Appetite ,"Many organizations hesitate to embrace innovation, viewing it as 'disruptive' or 'radical,' often associated with the notion of creating something entirely new. This apprehension might stem from the misconception that innovation is exclusive to entities with research and development departments, or it might seem irrelevant to non-profit or charitable organizations not focused on developing new products or generating profits. However, innovation encompasses a broad spectrum of activities that can significantly benefit any organization across all sectors. The ISO 56000:2020 standard, which covers Innovation management – Fundamentals and vocabulary, delineates various levels of innovation, making it clear that innovation is not a one-size-fits-all concept:

Incremental innovation focuses on enhancing existing processes, products, or services.
Radical or breakthrough innovation introduces a high degree of change, either in the product or service itself or in its broader impact.
Disruptive innovation targets initially less demanding markets with new offerings that eventually displace established competitors.
Each type of innovation presents its own set of risks and opportunities. Organizations are encouraged to evaluate their own risk tolerance and the potential rewards of each innovation type to craft a strategy that aligns with their unique goals and capabilities."
Easy start ,"Initiating innovation management within your organization is a straightforward process that can be accomplished through several clear steps:

Recognize and define the necessity and specific context for innovation within your organization to ensure relevance and direction.
Appoint a dedicated individual to spearhead innovation efforts, ensuring this person has robust backing from the leadership team to foster an environment conducive to innovative thinking.
Craft a clear vision that outlines your aspirations and what you aim to achieve through your innovation efforts, providing a guiding light for all activities.
Develop a strategic innovation roadmap that aligns with your overall corporate strategy, incorporating specific objectives and metrics to track progress and outcomes.
Allocate the necessary resources and support, including training and dedicated time, to empower your employees to engage actively in innovation processes and bring new ideas to fruition.
Pinpoint specific opportunities and challenges for innovation, encouraging the generation of unique ideas. Engage with users or customers to validate these ideas and refine them into viable new services, products, or operational improvements."
WHAT ARE THE PILLARS OF IMS?,"The components of an Innovation Management System encompass various critical aspects that collectively contribute to a systematic approach to innovation within organizations. These components are organized into distinct categories, each focusing on specific areas of innovation management:

Evaluation & Improvement - Define and Use Appropriate Innovation Metrics: Establish metrics that effectively measure innovation performance and outcomes.
Continuously Improve the System: Implement a cycle of continuous improvement to enhance the efficiency and effectiveness of the innovation management system.
Evaluate Outcomes and Improve: Regularly assess the results of innovation activities and use the insights gained to make iterative improvements.
Leadership & Strategy - Clarify Leadership Team Roles and Responsibilities: Ensure clarity in the roles and responsibilities of the leadership team to foster a supportive environment for innovation. Set Innovation Vision & Strategy: Develop a clear and inspiring vision for innovation, along with a strategy that aligns with the organization’s overall goals. Define Policy and Processes: Establish policies and processes that guide innovation activities, ensuring alignment with the organization's strategic objectives.
Context & Culture - Agree Intent, Ambitions, and Aspirations: Reach consensus on the organization’s innovation goals and aspirations to ensure alignment and focus.
Inspire, Empower, and Upskill Your People: Create a culture that motivates, empowers, and enhances the skills of employees to innovate.
Understand the Internal/External Issues: Gain a thorough understanding of both internal and external factors that impact innovation, enabling informed decision-making.
Innovation Management - Deliver Repeatable and Structured Innovation: Implement processes that allow for consistent and structured innovation practices.
Embed Innovation as a Core Business Activity: Integrate innovation into the core activities of the business, making it a key aspect of the organizational culture.
Commercialize Novel Ideas to Build Value: Focus on the commercialization of innovative ideas to generate value and sustain competitive advantage.
Innovation Process - Establish Innovation Delivery Processes: Put in place well-defined processes that facilitate the delivery of innovation from ideation to implementation.
Generate and Protect Intellectual Property: Encourage the generation of new ideas and ensure the protection of intellectual property to secure competitive advantage.
Creating Ideas and New Thinking: Foster an environment that encourages the creation of new ideas and innovative thinking.
Support Activities - Develop Skills and Capability: Invest in training and development programs to enhance the innovation skills and capabilities of the workforce.
Formalize Organizational Structures for Innovation: Establish organizational structures that support innovation, including dedicated teams or innovation departments.
Manage Documentation and Information: Implement systems for the effective management of documentation and information related to innovation activities."
SYSTEM,"Achieving successful innovation presents a significant challenge and often requires substantial resources. Nevertheless, the necessity for continual innovation is becoming ever more vital, prompting organizations to seek effective methods for managing innovation processes and embedding these activities into their regular business operations.

Efficiently managing innovation entails the timely mobilization of appropriate processes, resources, and expertise. These interconnected elements and processes collectively constitute what ISO 56002:2019 describes as an innovation management system.

By establishing an innovation management system tailored to your organization's specific requirements, you will enhance your capability to introduce new products, processes, services, and business models. Institutionalizing this management system lays a strong foundation for innovation and facilitates ongoing enhancement."
IMPORTANCE ,"Thoughtfully designed and implemented innovation processes are crucial for:

Pinpointing the most relevant opportunities and challenges to tackle, benefiting both your organization and other stakeholders;
Generating ideas that effectively respond to these challenges, catering to all involved parties, whether the solutions entail minor adjustments or lead to groundbreaking changes;
Ensuring that the proposed concept, be it a new or improved service, product, technology platform, or business model (or a blend of these), adequately addresses the problem at hand;
Refining the concept into a practical solution that can be leveraged to make a positive difference and generate value; and
Launching the solution into the appropriate market after establishing that the correct solution has been devised and a strategy for commercialization has been formulated."
Pinpointing the most relevant opportunities,"The objectives of this stage are to:
Ensure that the generation of novel ideas is directed and relevant to the specific needs of the organization by setting clear boundaries and scope for innovation efforts;
Tailor the scope of innovation based on insights obtained from market trends, research, horizon scanning, and a thorough review of the organization's internal processes, products, and services;
Align identified opportunities with the organization's strategic needs and aspirations, incorporating lessons learned and experiences from past business activities to guide future innovation endeavors.
At this stage, the following inputs are essential: 
A consensus has been reached on the organizational context and its objectives for innovation;
A defined scope for the innovation initiative, detailing the expected level of novelty or radicalism of the ideas and concepts to be explored;
Identified requirements or constraints that pertain to the organization’s innovation strategy;
Insights and knowledge acquired from external sources, including emerging technologies, industry trends, or shifts in the markets where the organization is active.
During this stage, you may encounter several challenges, including: 
Hesitation to alter the current lineup of products and services;
Insufficient knowledge of relevant technology or market trends that could benefit the organization;
A limited viewpoint on the organization's challenges, frequently resulting in cost-reduction efforts instead of investing in new innovations.
The outputs from this stage include:
Identification of a clear opportunity or a set of prioritized opportunities that serve as a foundation for generating ideas;
Detailed guidelines for idea generation tailored to the identified opportunity, taking into account the scope, possible constraints, and criteria for evaluating the ideas developed in the subsequent stage;
An informed understanding of the current state of the art, along with a review of intellectual property rights (IPR) as relevant; and
Insights into the potential value that could be realized from the opportunity, as well as other possible positive or negative impacts."
Create concepts ,"The objectives of this stage typically encompass: 
Generating new ideas or potential solutions by tapping into both internal and external sources;
Employing diverse ideation and creative problem-solving methods to stimulate thought and innovation;
Identifying ideas with the potential to evolve into feasible, desirable, and marketable products or services. The ideation process may yield a multitude of ideas, which must then undergo further evaluation based on criteria like feasibility, desirability, affordability, risk, innovation, or sustainability.
Inputs into this stage include:
A clearly defined opportunity or a set of prioritized opportunities;
Competence in ideation skills, with facilitators proficient in various innovative techniques including design thinking, ideation, and creative problem-solving;
Well-defined evaluation criteria to facilitate the assessment and selection of ideas.
During this stage, you might encounter several challenges, such as: 
A deficiency in ideation skills due to insufficient training for individuals leading the ideation process;
A lack of resources or inadequate time allocated to innovation and the generation of ideas;
Premature judgement and rejection of ideas by key influencers before thorough validation has been conducted; and
An unclear understanding of the organization's willingness to embrace risk in pursuit of innovation.
The outputs from this stage include:
A comprehensive list of all generated ideas, each assessed against the pre-established selection criteria;
A curated shortlist of concepts selected for further validation, along with their preliminary models for value realization; and
An initial evaluation of the risks, degree of novelty, and key uncertainties linked to each idea on the shortlist."
